feature	ATF3	CTCF	E2F1	EGR1	FOXA1	FOXA2	GABPA	HNF4A	JUND	MAX	NANOG	REST	TAF1
E2F1_top2_+-1	0.00122737780732551	0.00137915425671292	0.00334781394603493	0.00243508491278163	0.00176371860040963	0.0014313123055874	0.00191578900570096	0.000686670225361213	0.00128842183282476	0.00197095744167243	0.00175833347620904	0.00159141495717791	0.00241172703299832
E2F1_top2_+-3	0.000996678131814298	0.00118310816731317	0.0034850634558518	0.00151366237621893	0.00141706690242881	0.0016551970853805	0.00153286172483591	0.00250123875866806	0.00117833152808527	0.00241842041293528	0.00176517176188367	0.00136671168578097	0.00303412285491782
E2F1_top2_+-5	0.00085903870711783	0.00122847026698899	0.00232160732637333	0.00153295626457914	0.00152076380227132	0.00150045572161367	0.00139984917189341	0.00125381912497109	0.00126631728411183	0.00138709884490635	0.00108762673337032	0.00114944862560646	0.00216974058022528
E2F1_top2_+-7	0.000967407847762143	0.001136395759429	0.001629366742175	0.00136844494261086	0.00163214107747172	0.00159948944859307	0.000972528853415746	0.000943371623462401	0.00100117236329798	0.00112824705394701	0.00123591286670397	0.00112322775338551	0.00159681923170815
E2F1_top2_+-9	0.00122049151077205	0.0012186065799823	0.00127123077959203	0.00116377649140337	0.00135377049806129	0.00149102095476634	0.00107628476040543	0.00155825206701162	0.00117939175583963	0.00101837965394641	0.00125344753096864	0.000928495313485552	0.00135608445219012
E2F1_top2_+-11	0.000783922380381029	0.00129661742836155	0.000954023495821734	0.00111632823419825	0.00140443085630428	0.00145010986655473	0.00124153041196667	0.00125663393880219	0.00113549159034662	0.00117554670795838	0.00128524403335338	0.00100046905478551	0.00116807232745528
E2F1_top2_+-13	0.00105425051108694	0.00125256446833018	0.00109991831236444	0.00127903639921144	0.00161182465598932	0.00165738684628673	0.00117078714411494	0.00128670673614301	0.00108110822781972	0.00115897276805389	0.00158152366663528	0.00113588632684146	0.00130772748122551
E2F1_top3_+-0	0.00124395126967928	0.0011160854270276	0.00151742346608111	0.00167491983382597	0.00124245130973334	0.00128276171511829	0.00121450590787814	0.00103282015187292	0.00128901783259419	0.0011986895716508	0.00133814065953281	0.000883244820594827	0.0013838464659067
E2F1_top3_+-1	0.00112557377566753	0.00131261714354007	0.00458035953831521	0.00232339381890366	0.00158916109458661	0.00169007066864118	0.00181145204648845	0.00173433431000156	0.00122815401949634	0.00219100742486351	0.00186769218809791	0.00136632752318239	0.00234437485963139
E2F1_top3_+-3	0.00124779259479782	0.00105234731341085	0.00564958381437293	0.00187602507494002	0.00128290989208079	0.00139704247282181	0.00137981892999744	0.00122976088709844	0.00104123134799689	0.00217621368818709	0.00165937850952482	0.00114155905258623	0.00237555468711421
E2F1_top3_+-5	0.00178695688498092	0.00115421965514306	0.00229620725612968	0.00145462503419505	0.00111342423076932	0.00134201988214895	0.00165593696445135	0.00151333533690339	0.000947433959360252	0.00163287113549694	0.00178299905953374	0.00105605833885859	0.00206183770707207
E2F1_top3_+-7	0.000794512437624515	0.00127392812687575	0.00185540658843549	0.00126081853970861	0.00130821102776606	0.00144271159226681	0.00132545962618061	0.00142388680849286	0.000770187280454732	0.00134683681128106	0.00189978132386805	0.00129213657148538	0.00127116940653349
E2F1_top3_+-9	0.000941145276825607	0.00126598163052003	0.00102943522775926	0.00114419987955012	0.00129308262454011	0.00141508301494724	0.00109727388967612	0.000958215556229829	0.000943291609482613	0.00133794946261713	0.00168433672623491	0.000882047883388008	0.00114473100299077
E2F1_top3_+-11	0.000930054787846115	0.00100297778968211	0.00117081722960429	0.00113580884100497	0.00139425812384496	0.00131318380383919	0.0012563303209233	0.00103601989750998	0.00119098328491535	0.00113960644876328	0.0011512197381398	0.00097251602509008	0.00100668102822508
